location_id,location_name,city,state,type
LOC_0108,Hotel District 108,Ahmedabad,Gujarat,residential
LOC_0109,Industrial Estate 109,Patna,Bihar,financial
LOC_0110,Industrial Estate 110,Indore,Madhya Pradesh,police
LOC_0111,Commercial Centre 111,Chennai,Tamil Nadu,residential
LOC_0112,Airport Road 112,Ranchi,Jharkhand,public
LOC_0113,Warehouse Cluster 113,Chennai,Tamil Nadu,residential
LOC_0114,Hotel District 114,Mumbai,Maharashtra,commercial
LOC_0115,Highway Toll 115,Kochi,Kerala,commercial
LOC_0116,Hotel District 116,Chennai,Tamil Nadu,financial
LOC_0117,Commercial Centre 117,Bhubaneswar,Odisha,transport
LOC_0118,Industrial Estate 118,Chennai,Tamil Nadu,commercial
LOC_0119,Court Complex 119,Noida,Uttar Pradesh,residential
LOC_0120,Court Complex 120,Kolkata,West Bengal,financial
